node_id,out_degree
36291964,38
34648123,37
38490977,70
34956344,68
34543341,20
36981257,22
32360182,30
39274986,12
35090435,26
36186426,73
36983276,87
33471936,51
34482428,38
35515439,17
37582908,34
33738037,10
37185391,74
39013829,33
39308875,5
34918962,22
37564373,82
37089461,5
34108912,25
35105325,44
36873793,35
38799432,46
34695143,10
38609376,7
34052904,33
34465772,58
38144140,16
34168954,22
36237641,71
37303998,5
34287027,13
39554162,45
37156779,29
34692372,10
38440637,12
35172896,119
33218395,74
34825252,7
35528662,56
33735499,14
37629410,47
34771490,19
38464801,11
37114475,14
40486278,62
34461458,34
37584691,32
38912140,11
35611537,41
37899804,32
37587225,39
39286358,72
32952830,14
40390112,115
37308267,37
34264409,44
32292569,35
36011783,50
35215423,69
38414511,10
36281025,31
31950131,65
33815817,44
39816636,40
34921341,161
39850898,43
37855026,32
32461726,30
35778615,37
33796386,72
38259549,56
36760975,21
38724769,41
32577260,27
38373657,45
34822097,25
33705424,26
33609185,25
35380831,43
37686223,54
35991456,43
37956427,13
35873824,89
34840692,17
34750159,39
32570731,53
38488451,21
35211351,39
34616798,66
34190185,35
33537346,33
32806780,6
34124406,15
34575393,96
32185201,34
37297651,24
32324307,44
36643554,15
39085382,12
36434633,48
37127723,64
36389414,53
32373430,58
34759594,13
35494675,7
36386576,27
37568215,43
33713270,40
34037960,68
40216423,44
33013840,77
38921250,9
37404587,18
36337862,163
37284676,38
37990728,146
38302483,52
39484289,28
37686087,53
34526826,54
38123791,14
33578752,78
32455558,34
33338099,28
35316529,7
35090153,41
33489035,36
37635735,73
33683361,110
36524396,45
35903481,39
33718118,70
33608015,21
36480653,56
37425625,23
33192112,23
35746415,11
38854272,28
37729287,30
33508911,20
33291485,269
32854747,39
37374117,27
35891403,83
32399856,41
37184820,28
37893979,30
37215129,56
35622861,48
33570173,47
34320608,50
32824081,35
36172335,8
33718280,26
35309670,82
39940357,38
39056948,13
38335415,18
35094694,19
38699289,110
33030666,29
39139156,40
38585019,56
38440658,7
36698864,17
35929347,37
33015512,23
35186872,56
35865289,81
35425259,26
39283710,26
40477703,55
36414832,36
38355306,75
37947545,41
36398114,72
38242950,23
39013450,25
34899352,46
34222800,28
36816397,22
34331146,52
36698712,37
34447931,91
32299271,27
37006837,14
38174716,42
36903743,27
38107451,21
33561916,26
36546985,21
36339857,100
34192237,14
39662987,52
36662486,33
32821756,18
36422837,36
34448987,11
37777734,28
37414938,18
35178291,42
33466781,9
37303661,40
39656185,62
37990663,117
36599130,50
32043461,5
35624421,37
35313342,57
37435428,27
37680467,76
40485918,69
32483276,31
39964587,45
39545796,59
32598345,68
39275577,14
40218216,55
39478942,12
35130098,35
32218300,91
37687646,22
35953611,22
36735391,5
32050433,82
32002519,27
32959080,6
33545492,8
34557550,95
36547096,33
33825039,33
33897553,27
39482966,11
39790674,9
35171048,48
36329462,14
38048391,30
40003899,72
40379861,32
36454969,72
34066082,28
35058251,33
33694067,33
33725026,5
33526077,14
31984140,17
39361051,56
36839009,101
35264851,70
34650175,14
35036302,7
40481178,49
36079530,22
32733519,57
34684523,100
34440111,39
33489815,53
35282367,9
38791176,49
37747666,28
35073914,115
36699527,36
35591643,26
34256425,5
39074278,113
33674764,32
33809100,28
39398484,35
36449798,15
40335520,31
40463590,105
39022481,12
37816555,45
38799539,15
38683985,110
32195663,34
33644897,53
38303762,38
39353898,46
39376593,44
35264128,41
38786243,48
40224636,78
34743258,44
35472657,29
36458685,87
34001078,57
36358603,47
36328395,37
32014809,30
34304092,108
40278609,42
33511190,8
34770828,21
34096194,25
37626643,63
39156366,12
33749720,53
37115048,19
38640249,30
36817702,23
36011474,29
37713444,69
35571913,132
36427205,99
39213431,14
39702444,90
32280923,32
39802771,88
39973037,5
40287453,60
36009557,104
32384592,12
34679665,18
39346907,102
32043830,41
35162166,27
37085691,5
32821706,49
39737728,23
34745500,26
35246230,78
36710765,24
34800170,42
32944021,30
33312738,82
33367072,10
38390812,8
37846316,65
35269164,49
38577768,94
39959513,12
33726861,141
31975910,140
37765796,5
35884814,81
34976757,29
39263250,10
35920649,33
39402081,48
39780615,34
36631884,32
36225745,29
33748098,68
32057091,34
35887486,35
36318331,19
36132099,7
32023670,10
32405453,12
36936709,42
40104314,23
34208098,37
34356279,26
39524389,20
39064596,31
33245318,29
34659913,22
39716160,28
39144115,108
32355810,42
37174686,20
34697501,29
38726192,30
32299494,29
33062256,57
37501095,47
32205921,40
34819408,24
38827325,53
39073675,11
38500181,29
33634347,17
34489705,50
39233792,12
37175575,37
35947938,33
33886568,43
34191415,25
32455611,33
35073346,22
38652064,15
32200759,20
39459670,5
34909400,17
37601934,6
33747477,37
38660047,23
36046484,226
34309668,35
39840357,24
39006888,31
36570988,7
39189351,48
32455614,51
39275081,197
39333889,48
40242333,29
33463898,53
36422905,25
38931411,458
36041765,29
39279973,17
39875212,38
34642520,15
36429451,12
34896640,50
37212495,40
33501651,15
32824364,75
36984617,34
35799444,33
38020701,48
38930713,5
34718755,77
34446954,16
33982062,118
35340667,24
32687045,8
36396987,53
35423978,36
33160973,15
40335923,44
34642811,30
38054197,5
38338851,34
35431374,33
40148804,24
38503735,64
38086115,9
31933275,9
39501360,20
35909970,56
38266629,25
36770996,25
34083950,30
39883046,19
34522677,10
37475584,36
34498401,29
36814303,44
37422443,64
32218790,57
31976417,93
37633902,21
32708701,68
40205341,32
35295584,136
34108520,53
34552914,19
39592990,32
36211353,48
34207254,19
32273836,21
31998691,15
39722838,42
36287402,25
36824066,40
35991949,51
34280782,9
40078351,49
39941260,37
40248370,33
33452404,39
34636189,44
36262694,29
40453034,10
36910736,10
36374836,88
36575248,31
37765414,37
34632124,199
32835159,15
36892810,59
39588479,28
33511445,21
38031128,50
36146611,36
35744884,21
34294065,46
36697879,30
34639353,67
38139374,8
38299172,11
36177851,27
33464700,37
34595734,230
31908883,19
36317054,51
38758383,118
36637952,49
34144761,24
40079588,6
37653141,79
35071729,25
36803061,64
38847245,43
37322449,68
34255939,24
40141111,56
35754112,27
35346298,38
32862808,9
36593313,54
32555180,78
39530018,36
38993795,35
37889731,50
37484588,8
36961506,42
34248688,20
33591636,49
38201767,22
37208349,13
39058877,28
37094413,20
40435012,13
36252889,49
32912151,34
38647391,62
39379535,54
35622854,38
39769039,74
32194689,26
35470131,33
33085469,67
39073453,70
36429160,13
40074737,40
32138297,40
35087969,46
32751337,28
33283128,22
38904610,22
36481833,18
34027056,17
38015754,48
40144889,23
35456029,47
32078832,12
33568221,50
35578334,55
34497154,53
39280376,13
39673562,25
35498455,11
38989349,14
36477181,40
33391491,77
32834705,5
32055286,31
32053961,16
33520815,55
34757846,46
33282639,19
39487961,33
38103245,69
39585530,55
36454436,26
40331988,140
36523450,27
40270684,7
37886979,51
34683608,25
36964263,39
39565521,52
37809319,13
32404031,51
34457864,12
33712425,70
39786890,24
34732144,43
37837143,5
39363213,16
32629926,33
39414314,6
40054525,51
34680351,470
37103198,33
32385162,50
32905777,73
36969398,28
38327548,50
36879907,29
38310460,35
34646410,15
35514599,11
34574065,43
33005044,63
39989513,42
33779867,38
33868316,169
32658590,28
36911166,41
37904075,15
34677527,11
32156105,11
33196970,13
36079740,30
38357885,51
39199561,67
32551137,97
39601009,16
39170827,132
34970236,36
37559662,76
37988999,19
35713425,25
31956899,15
34722944,30
39854236,23
33572641,26
32725961,36
36653443,54
33247720,38
32892375,41
38376634,20
38747340,50
34296166,50
39924965,41
35543699,25
36553206,65
34467402,21
35819498,40
37069365,70
40169437,36
37448509,23
36337760,105
34838051,18
39939293,83
34346826,8
32844363,34
38601905,44
39819240,44
37643621,46
39065070,59
37799566,16
40448028,52
38882713,69
35311592,44
36187371,9
39737359,15
34819825,27
32731517,78
39204050,55
32479861,5
37698907,33
35138903,20
39613743,10
32501977,23
35535936,8
38275904,31
39796339,21
35655122,52
39690351,179
35977174,21
33805409,44
32260454,102
39000920,6
35079377,19
40232817,20
34605930,11
35130616,42
34239187,18
36042363,19
38703187,18
39529071,30
35664695,123
36654710,20
33888548,31
38476867,60
36333553,40
34609495,24
33851921,19
38928929,35
39237112,132
34095579,40
32346365,13
33808472,30
38753244,26
39131609,46
36687745,5
35497439,16
32115369,11
40016808,16
37693662,10
32086979,28
39865169,53
32103726,33
38928190,31
39640246,40
40296109,40
39997477,109
35798651,27
35363878,229
38891086,39
37400547,24
35004896,82
37950337,20
34407881,61
33689355,36
36291933,73
36092023,5
36406584,11
34347221,25
35900132,89
38942826,112
38771730,34
36655225,26
34016753,47
35892582,62
40134412,146
35367970,31
36525554,50
31951853,45
34827416,43
36136478,65
34013368,34
39617768,119
33826083,33
34043940,79
35821525,18
32381010,35
34073633,59
32641781,28
33402818,35
36643340,33
36235608,29
34496083,24
35407113,93
39536524,115
38588669,44
40012860,20
33866590,9
34014129,32
38362513,35
34114049,55
39979943,62
37848044,32
35445343,36
33773526,30
39300159,29
35434555,47
40326247,40
34045213,28
39502149,8
36556178,55
39311306,57
38336753,9
31974422,22
39443944,88
36365106,79
36473497,34
33539336,6
32079244,67
36562083,53
38033482,62
34267365,36
33794775,15
35899056,33
40292263,29
34101093,23
32183904,36
34025886,5
35358511,64
35799149,62
40007429,15
37122719,234
33171839,61
37082491,21
40429900,66
34651028,109
38998170,14
