#node_id,out_degree
32421047,33
37361670,66
33502676,54
36915151,165
33052586,75
39236111,95
40103662,52
40083743,9
35870108,164
35371416,43
33077898,21
36527639,13
32764409,88
33572789,156
40006576,92
38566089,33
35569186,13
38890497,117
34795627,68
32754411,7
35761798,13
37242755,88
32595752,110
33518568,19
33670742,75
38028723,68
39697625,22
37364052,48
31913450,76
33765255,127
36415379,17
37164223,22
38714819,78
34726743,28
38362053,41
39816023,66
37663691,14
37180782,118
35237090,169
40478296,33
32380648,79
38030235,20
33378480,34
39012818,70
37770913,25
34085613,91
36225287,21
39447601,111
36642785,66
33100661,14
35865806,63
39928156,96
39916849,173
39514089,102
36290469,77
36759900,43
34924732,15
32355565,87
35436907,118
37491518,25
37885940,66
39871057,237
36926717,16
36672902,90
35496695,44
40125205,21
36318083,52
36879737,51
34718414,17
34288818,68
36247935,22
40110558,70
37446297,131
40140680,38
32580953,71
35190680,179
39231174,35
32849540,59
34295036,91
37340856,62
32596350,77
37794751,80
32518069,155
34207752,69
33425417,58
32273505,78
39503776,56
32077891,63
38835916,47
35110174,36
40335540,29
35268894,345
35005448,61
35907962,83
36204614,133
34326813,80
37268420,175
33987259,64
35017621,56
35528853,50
32054234,57
32488680,38
35039065,60
37414863,60
33042279,68
38578749,116
36011413,104
39521831,73
31971292,27
37807121,20
35340770,33
34733038,19
35355322,34
39532365,163
39762372,60
36119803,47
37371368,86
37964700,79
38720886,109
36553777,87
38855114,153
32197082,119
39484244,66
34393374,8
32881418,261
33587034,207
31945544,33
33551825,193
40277939,636
35062579,52
37234960,99
32448019,26
37664879,30
38004100,153
32436224,131
33298150,65
36992206,81
39122728,76
35247108,62
35065325,58
39777348,318
36941262,178
33085012,132
32009326,59
34118167,120
36866804,44
38174133,67
35295884,73
40377725,216
36059697,95
35387783,74
32651374,59
38851765,69
36484810,58
40145553,126
38603414,63
37854740,28
34285200,55
32580717,77
36658308,137
35258457,141
38868665,133
39597735,136
33972475,261
35746229,70
38775031,98
35369146,56
33096347,88
32887304,215
37215878,15
37624314,62
32363634,30
32401938,94
37025229,12
35297391,31
39333525,39
38434574,41
35723302,128
36846506,17
38883267,21
32838757,47
35419190,15
36655075,61
39175806,155
34548853,328
36033952,61
36506212,88
37855218,54
34143000,168
33967443,64
39912577,98
32688458,5
36969665,92
33198710,90
34882861,28
39367894,80
40362965,130
35112285,13
33692949,94
33832481,74
32740713,45
33082482,140
36916512,12
39905183,89
37886950,97
38687604,75
35742458,83
36067514,68
40270778,17
33543816,51
34525330,139
40216961,8
33760220,97
36275777,165
36162124,109
39494201,50
33579945,215
35707055,89
40137229,100
35719891,170
38755189,74
37781092,26
36526806,80
37529644,120
39598475,152
36683516,74
31994668,16
36119336,14
33049873,79
35722052,16
34906991,56
39969100,85
40432096,73
40060270,156
34955869,102
32612247,108
38858683,145
36125055,40
33918581,45
36466163,291
32882944,53
36889305,61
36325515,59
32674475,75
37145278,13
37835052,54
33275925,204
32698394,77
40018111,100
37641040,70
35801187,16
36687026,71
