#node_id,out_degree
33421511,39
33989365,22
36128366,80
35603103,8
37187469,24
34707950,9
39749348,13
38445253,32
35929177,30
37458789,40
35868847,54
39739649,19
37122503,17
39589589,20
34064987,49
36571264,37
39581987,13
34211225,10
39684759,65
37648723,97
36677363,47
37234716,40
33121515,57
34660498,63
34487298,33
36711812,60
35517374,21
40129867,33
33346335,28
32681279,47
34392603,47
35444469,20
39850195,7
35626806,5
32871958,16
36072615,20
33999320,34
36046170,24
37175854,30
37727219,17
32655827,26
37360725,6
36536957,42
32131825,32
39654800,52
32590587,10
36850298,6
35938143,5
38674890,56
39691825,19
39619812,13
32139893,56
33138099,51
35359861,33
34540020,9
35435138,45
38061717,18
31911409,23
37924982,52
35221304,41
34574157,16
39640483,66
38731906,46
32729838,39
40462168,50
39483829,25
36540826,23
39737316,20
39309029,100
33632255,41
37654884,17
36902284,22
38753620,5
32576969,81
37278343,9
38032883,5
38707167,23
39816246,38
36091861,8
39734661,26
37443041,55
39756512,9
32204744,32
38024205,6
39767603,31
38719877,49
34977005,36
37805977,40
33232556,40
34519440,53
32821284,54
39092520,19
36879947,49
33947708,23
35840988,10
34100388,35
36978421,340
37061615,12
34424452,18
36231156,25
33144378,55
38344586,7
39705166,16
39441875,28
38304856,40
32350321,14
36016625,55
38520513,29
35326455,42
32919442,5
36839242,43
35402411,30
38421138,67
33029240,40
38125819,22
34046884,69
32095025,31
34249913,45
38028882,78
38930019,24
35816699,32
37259983,36
37378590,49
38859860,29
35762636,126
39941740,73
39100472,59
38255766,43
33854850,12
35008310,46
32765147,15
34466068,24
32174822,10
35902771,36
36934204,23
35334762,6
36561600,22
39616215,31
32021426,39
36226882,11
36145006,7
32308761,27
37022778,28
39797004,25
38900522,50
38068949,36
35642485,158
37532894,19
33867940,109
34557478,140
39007040,94
36245590,23
40261879,14
38402498,12
35895002,27
39496779,36
37250448,35
36770594,226
37900895,9
40164674,62
39555252,40
36197514,30
35069705,111
33897929,13
33327391,31
39167317,44
39301168,46
34445964,19
35748492,36
38811582,14
36194292,7
33104726,43
38177288,26
38472859,43
34672936,30
40308478,6
33547763,41
39499295,11
35178525,9
33513181,29
36348163,38
32973103,84
34150753,72
34629563,26
38328746,16
36407153,35
40033366,81
36108240,60
34343398,16
35095611,62
36333945,33
34135554,90
33842818,24
35169616,31
38058391,98
32677525,13
38993818,13
36402045,45
36014307,32
35005672,35
37889924,37
39253154,34
35435153,38
34917954,48
37477521,25
39934390,52
37498841,25
40322758,8
36768010,20
39518548,44
36631625,17
35959046,72
38137924,55
33364885,16
34774066,29
35956041,52
34381345,47
38106714,17
35617347,19
36436456,68
32240543,6
37009185,26
38983869,29
35309603,13
33047513,22
38610244,9
33235501,26
33664360,10
38550849,7
38071192,63
39434928,18
32256287,38
36917051,12
31975172,86
39282077,59
33392823,25
32928189,32
32570961,429
37097461,9
36193425,7
37802192,32
35317753,21
37441355,30
39464338,60
39179251,24
35521617,23
34292776,35
34912335,31
33418497,9
37995059,22
36280819,12
34201323,23
34552952,42
39368073,46
38837392,75
39006311,10
35887608,31
36430990,104
39457279,28
39587624,17
37213516,51
34042937,16
36812691,19
35074422,49
37447072,54
34851994,43
36804425,46
37476515,21
38412609,19
33312150,87
32492786,106
38507104,47
38656500,32
32617490,5
37366506,127
32664645,6
37600102,9
35563299,45
38912230,12
36028999,75
39699004,19
37577153,10
38062450,59
33357074,45
33257374,5
40237173,32
38863828,58
34006605,7
33658532,55
32595732,37
36389393,19
35171243,70
39916727,7
34412612,47
40321492,5
35436293,45
37339119,96
38346015,37
33799950,28
32999947,19
34522809,5
35657955,25
37073166,165
32304435,10
34964542,78
33112550,18
32853711,42
37367025,18
39554127,53
36231505,22
38123823,96
36936700,34
34379512,52
33850058,55
38998520,16
34640011,12
36609238,21
34084191,20
32822289,10
35600825,52
38075920,68
37272801,41
38273211,45
34012684,33
39861537,10
39356467,103
33375775,29
35251995,75
32607181,58
36518218,54
34096103,28
33947881,14
34162897,52
39628877,20
36361081,60
36691139,72
34936017,33
38596611,9
32521749,72
33263519,30
32382107,61
39256819,28
39384328,36
36259364,26
39983727,18
36933062,108
36687878,28
32128243,41
39203185,22
32050437,54
36188306,20
39942517,31
34463848,78
39487327,34
33539533,53
33946664,27
35096485,68
38443830,77
32012946,42
37251703,33
36771869,28
34291058,24
35919878,13
34917433,7
39091235,122
32341568,64
33219410,25
35846774,96
36660372,37
33373042,19
34742523,21
40125032,47
33299601,61
37240747,138
38192816,31
35814085,20
38846676,48
36865273,99
40278119,65
37988701,9
33151472,45
37857860,14
33691713,50
32823997,62
37365518,38
35024580,38
35501726,38
38628657,52
39056832,25
38189902,18
36231751,40
39530029,24
37658126,60
38623421,23
38739360,88
37726942,66
37904831,9
31969142,29
37878214,74
35420662,39
33816420,32
34859601,14
35274229,146
35494163,76
37216065,16
39071239,81
40370585,50
37981705,30
40077535,36
39696446,50
39971824,20
39484015,72
34862542,36
33177556,36
38252758,49
34281114,9
37773494,68
33363780,29
34136491,167
33291286,27
37179301,24
37701254,12
35926937,49
40417669,18
33167463,49
36467357,34
37395924,23
36309548,21
39289720,18
32547323,26
37310732,65
36755415,30
38191912,97
37220274,88
34502462,84
33159164,35
38041737,13
39742049,30
38654243,34
34648079,14
33245043,74
34670599,7
38951898,62
35811646,14
39234666,30
35434026,28
33564736,22
37970337,408
34722518,86
32604805,23
39753589,32
40245090,58
33897404,35
39702568,13
38223043,22
39695450,40
35477762,23
32274304,29
39200540,29
39507057,169
40042793,30
32754075,11
35924344,45
38577089,85
37286579,28
40281844,36
39061662,37
37345809,33
36564506,33
33579028,21
37162501,202
33426012,13
39768041,68
32611990,11
36410901,59
33128027,46
35057030,128
38758227,20
36519414,40
38673326,60
32655153,16
37032090,24
35379208,32
34576803,167
32301398,30
34039021,43
39135038,43
37968638,44
37552758,5
33656151,8
38966126,90
36937260,15
34106634,44
37846345,51
38668305,23
38247819,181
37868809,17
36778005,119
39242633,43
32992546,63
38744447,11
38507067,52
33190366,76
39599930,24
38903115,101
34138276,29
33318925,11
39297022,24
32426363,12
39619046,6
40299522,86
34088694,11
38933815,39
32630985,48
32146646,30
37701419,8
40190808,44
32477332,43
34307397,23
39912941,17
39594857,52
37055503,28
39017714,35
34355825,30
34490465,33
35011927,129
37051082,58
35236778,45
37194993,50
39506707,55
38203498,61
39968502,32
35276320,54
32701665,30
33613572,156
33668183,45
35444967,39
36474780,24
32323080,48
36787032,12
34035174,65
40093461,12
32743499,148
34629249,40
38361901,6
36364931,81
34663588,46
36131288,35
37692072,23
36060211,28
39274362,29
35463698,38
36635427,33
32785151,55
33745116,230
35859975,11
37745342,132
34069833,17
33752752,22
39443979,57
39268176,18
32756869,39
36484928,26
38003855,54
36372868,44
35186519,16
38090187,50
34449708,9
37430886,7
35129789,23
39071694,35
34395472,31
39997402,48
36203656,47
37101554,35
35321376,30
39165520,15
39396363,17
35523818,121
39815178,34
33922494,36
38922177,146
33664233,43
40287654,42
32350350,19
34250312,35
32801794,34
34578337,83
39301185,41
39501714,48
34900183,9
39411529,25
34162989,46
36310732,6
39237693,28
33708265,59
35072749,27
34768514,40
34041706,19
38635549,69
40479409,30
40295528,64
39834843,82
39561273,46
37808457,40
36102257,43
37179974,31
32840675,57
39274004,28
36289703,70
35342355,51
39344179,46
37891628,58
33107196,42
37431496,27
34221674,23
37237828,36
38164556,37
32864900,23
39495321,49
37176936,54
39752087,8
40010831,45
37495672,39
33552019,58
40139998,30
37674961,22
37709252,9
35170182,7
36969084,37
35734773,27
34823820,7
35480103,29
34258107,11
34499042,72
32920770,7
34804309,17
34667232,6
34407827,29
33071412,12
39428401,30
33972126,35
31990605,9
37237915,197
34341014,23
38332923,14
37371094,95
37360028,44
35613103,43
36072106,23
33173248,29
32947171,26
34900596,19
38089716,19
37288235,22
37794938,19
35571509,24
33233456,48
38025099,8
37475204,25
32269624,29
39701954,43
36297483,42
36820152,16
33374337,177
40211312,23
39941512,34
40078607,49
32485850,100
37368621,43
39810075,106
39943132,36
38960873,36
38617854,9
40118454,36
36910554,47
32834932,38
37448802,37
40205321,20
34437437,21
36299805,38
39995657,99
40453928,19
35407142,32
38638240,69
33788145,52
40282059,76
39688004,28
40332752,48
38409366,208
36842399,16
37470387,45
39149010,23
33182442,166
36009560,15
34434183,47
32551431,13
33642952,53
33509701,97
34220578,30
37541249,71
37724595,113
39126661,31
38738227,11
35667685,87
39034962,16
39860268,8
38510703,26
34868634,203
38628279,48
33108978,18
35286578,24
39014016,13
35858840,22
35705890,31
34066058,37
33119481,10
34801976,16
32795114,16
36571611,25
40017813,20
35699976,25
33173495,11
38232027,24
39404752,22
35913094,100
34479895,18
35780496,17
39228636,15
38507486,27
34606572,20
39930306,50
37538391,10
36134858,16
33432283,27
36992083,59
35281050,134
40256070,19
34348728,26
37222160,32
37086055,39
33224772,168
32441464,60
35359979,28
39897259,7
33737569,13
35663646,18
38573888,49
32308546,52
31936131,55
37736720,45
35207092,6
32557004,15
36827840,27
35918699,57
38334939,24
34925838,14
34688590,23
32785016,36
38931286,139
33732177,26
33176689,49
36147883,28
35727626,31
33313543,59
34295528,6
38002825,32
32844169,25
38850110,65
39664140,15
34679369,148
36585696,29
