node_id,out_degree
38212773,16
38998086,24
38666283,15
35012165,19
35622265,30
40409961,59
39318840,39
32328480,35
40447820,22
36354908,115
36014268,25
40053719,55
39327449,12
33926526,51
36726077,45
34774101,141
33792791,50
36203891,25
36441685,13
36659950,24
38379875,6
39018515,18
33747966,32
35847723,15
33858960,50
38633732,23
32719091,22
35485573,23
39525073,25
35525871,117
37896100,66
35914700,44
33653412,45
39574455,34
35565418,122
38472907,62
34541377,26
36747249,42
35941602,26
38580898,12
39767879,26
37063287,80
36101369,93
36613777,40
32285095,47
39825186,59
34401203,63
39350129,28
32693608,10
36769548,56
35601887,23
36345025,61
32095518,62
39847393,47
39265589,13
34073782,27
39940508,13
32974361,19
39438685,52
36358570,61
32736292,46
31937754,53
36181336,231
34969668,65
32520657,59
32770172,60
33053344,73
38372536,22
33319077,6
34451245,48
36694520,10
37706013,22
39044563,22
40106089,19
36127524,25
38800197,14
38192306,13
35875051,24
36252617,341
35062693,67
38473203,65
37346781,19
34202660,191
35039002,21
35454697,12
33219875,20
32894058,6
33029263,24
36629914,22
34706272,35
32355571,11
35563541,98
33660492,27
39346682,50
40290507,43
34061599,55
34386478,18
40120129,40
37248447,33
36498818,16
34978469,200
35136843,15
39050424,9
39830442,35
37003025,44
37160482,88
40003701,56
34347816,16
37854697,31
34708890,22
39166731,23
37593954,13
39713309,65
37265326,58
38020954,109
38666687,9
38249806,53
33574902,58
39897266,15
37324898,44
33778256,6
35648862,25
34831469,20
32522306,6
38829707,59
36501939,7
36545628,41
33343970,28
37804999,29
33923625,39
35295955,20
35425409,18
38975462,10
34377585,24
38297108,51
40046877,34
33343158,25
36500758,10
39554460,42
39644497,13
38384995,9
35467857,5
38468608,8
40263227,8
31941156,49
38223784,12
33960401,41
32123540,40
35727497,21
34660867,6
36690794,102
39147923,36
33923160,145
37273108,42
35075279,43
39379096,79
38530606,32
35922528,48
35771155,31
38285793,15
37723460,38
38244384,25
36550166,52
39441242,59
38503416,25
39765981,49
38653741,8
32580186,88
32845067,26
36660558,47
37859985,42
34868155,94
38929502,19
34548365,25
40003018,26
38558099,89
38027563,48
37692428,52
40217458,50
32965656,11
33790353,61
35850714,43
39948072,48
35257566,23
36012773,88
33210048,15
39985664,18
40065410,208
33414473,40
36439924,6
37652503,38
34669111,28
38480549,42
38515144,51
34987864,9
39380041,43
32939729,48
32907668,9
32603544,38
34233647,31
38470166,6
35595043,12
33562723,22
32132781,23
38021964,30
39791908,97
32908121,38
35721921,17
37248664,15
40287667,12
37021916,12
40035328,55
35209072,38
37525192,40
37178307,78
33500993,24
38427281,54
37019335,24
32518799,19
37332659,7
33681652,21
38576685,26
40046754,20
36934143,15
38745254,86
37342774,53
36097744,9
34019569,78
37990022,61
36913733,14
40375958,126
39746094,60
37389839,39
39387070,12
39553916,22
34759316,52
34208314,5
38995451,29
35313569,55
32452105,37
37106741,10
35467287,103
38288434,18
32127751,17
32099618,25
33274337,44
39080084,90
39700339,90
38077639,35
34322584,26
35557927,34
32832918,65
32095599,23
40342989,10
31956780,24
38606140,18
40108136,60
34805041,55
39224818,16
38399058,23
40002188,28
39125311,283
36451994,41
32214692,38
37663487,15
31907365,35
35726048,14
32328591,33
35860083,16
37682825,5
39896778,23
36871023,10
33167030,58
38659143,13
35512751,54
36212757,11
38438849,35
38025861,5
35571144,28
38596293,240
38775832,39
34579060,53
39633388,20
35201458,205
38752772,119
32438652,14
38919733,52
38788210,24
36076292,43
32914388,6
34512615,40
37314807,19
31979127,27
38581595,25
36649419,15
33326347,26
39650716,24
36937963,85
36018261,50
39709411,37
35027995,21
35661687,21
33585236,25
40034720,10
34908709,16
36530741,25
37051188,42
35657470,8
31937373,36
39493007,10
33795746,45
39567274,39
35185439,29
36399136,49
35291251,10
32109389,80
36913123,15
38424319,9
34419722,22
33495843,37
39463021,48
35805110,254
39504943,94
35262294,20
36579958,7
35363569,28
36546417,17
33828804,21
39115047,45
35911055,16
37781537,33
34381872,12
34847190,34
38414607,11
39237580,24
37647863,39
35682698,22
31982004,31
32788743,34
40453534,22
36674210,27
38623877,43
33996941,7
33373391,41
38344720,62
36538931,55
38256530,46
38286940,31
35304439,43
40093028,10
33441894,36
36652230,41
38766371,35
36937710,39
33738880,127
39124693,32
34041299,24
35669054,27
38091318,67
40407940,45
37039021,41
32601107,132
32438727,7
39872345,15
34708018,9
37285026,54
